,wtd
KAR1.2,5
KAR1.7,30
KAR1.8,2
KAR2.1,0
KAR2.2,11
KAR2.3,4
IVT1.1,16
IVT1.2,14
IVT2.1,9
IVT2.2,41
SYS2.2,8
SYS2.3,18
SYS3.1,5
SYS3.2,19
STR1.1,27
STR1.2,10
STR1.3,1
STR2.1,10
STR2.2,10
STR2.3,20
STR3.1,0
STR3.2,30
STR3.3,7
STR4.1,20
STR4.2,0
STR4.3,12
STR5.1,5
STR5.2,32
STR5.3,1
STR6.1,17
STR6.2,8
STR7.1,1
STR8.1,1
STR8.2,25
KHM1.2,27
KHM3.1,30
KHM4.1,7
ELN1.1,18
ELN1.2,0
ELN1.3,26
ELN2.2,35
ELN2.3,7
ELN3.1,0
ELN3.2,25
ELN3.3,6
PUS2.1,0
PUS2.2,18
PUS2.3,7
PUS3.1,31
PUS3.2,9
MAN2,15
MAN3,36
NAU1.1,30
NAU1.2,12
NAU1.3,23
BOZ3.2,29
BOZ3.3,21
OZR1.1,10
OZR1.2,14
OZR1.3,14
OZR1.4,6
POL1.1,20
POL1.2,48
POL1.3,38
POL1.4,25
POL1.5,27
POL2.1,38
POL2.2,14
BEZ1.1,12
BEZ1.2,0
BEZ2.1,24
BEZ2.2,6
BEZ3.1,32
BEZ3.2,2
VER1.1,6
VER1.2,13
VER2.2,5
VER2.3,14
KUN1.1,15
KUN2.1,7
