,Arcella arenaria ,Arcella arenaria sphagnicola,Arcella catinus,Arcella conica,Arcella discoides,Arcella gibbosa,Arcella intermedia,Arcella rotundata,Arcella vulgaris,Arcella vulgaris penardi,Archerella flavum,Assulina muscorum,Assulina seminulum,Bullinularia indica,Centropyxis minuta,Centropyxis aculeata,Centropyxis aerophila ,Centropyxis aerophila sphagnicola,Centropyxis ecornis,Centropyxis orbicularis,Centropyxis sylvatica,Corythion dubium,Corythion orbicularis,Cyclopyxis arcelloides,Cyclopyxis eurystoma,Cyclopyxis kahli,Difflugia globulosa,Difflugia juzephiniensis,Difflugia parva,Difflugia pulex,Euglypha acanthophora,Euglypha ciliata ,Euglypha ciliata glabra,Euglypha laevis,Euglypha tuberculata,Heleopera petricola,Heleopera sylvatica,Hyalosphenia elegans ,Hyalosphenia papillio,Lesquereusia epistomium,Nebela collaris,Alabasta militaris,Nebela minor,Nebela tincta,Padaungiella tubulata,Phryganella acropodia ,Phryganella hemisphaerica,Trigonopyxis arcula,Trigonopyxis minuta,Trinema complanatum,Trinema enchelys
sos.01.up,0,0,28834,0,721,0,0,0,0,0,0,5046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sos.02.up,646,0,23239,0,0,0,0,0,0,0,0,1937,0,0,0,0,0,0,0,646,0,0,0,0,0,0,0,0,0,0,0,0,19366,2582,0,1291,0,0,646,0,0,0,0,0,0,0,0,0,0,0,0
sos.03.up,972,0,25265,0,0,0,0,0,0,0,0,486,0,0,0,0,0,0,0,1458,0,0,0,0,0,0,0,0,0,0,0,0,0,1458,0,0,0,0,486,0,486,0,0,0,0,0,0,1943,0,0,0
sos.04.up,0,0,4818,0,371,0,0,0,0,0,2965,741,0,0,0,0,0,0,0,371,0,0,0,0,0,0,0,0,0,0,0,0,1112,1112,0,0,0,0,4447,0,2594,0,0,7042,3336,0,0,0,0,0,0
sos.05.up,0,0,2545,0,728,0,0,0,0,0,2181,1091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1091,727,0,0,0,0,2545,0,364,364,0,12723,0,0,0,0,0,0,0
sos.06.up,0,0,6311,0,0,0,0,0,0,0,4508,2705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2705,1803,0,0,0,0,9016,0,4508,0,0,12623,2254,0,0,0,0,0,0
sos.07.up,619,0,3712,0,0,0,0,0,0,0,1237,3093,0,0,0,0,0,0,0,619,0,0,0,0,0,0,0,0,0,0,0,0,619,0,0,0,0,0,69291,0,0,1856,0,25366,0,0,0,0,0,0,0
sos.08.up,0,0,6544,0,0,0,0,0,0,0,595,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6544,0,0,0,0,0,108870,0,595,0,0,595,0,0,0,0,0,0,0
sos.09.up,0,0,2043,0,0,0,0,0,0,0,4085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1021,511,0,0,0,0,70474,0,0,511,0,2043,0,0,0,0,0,0,0
sos.10.up,0,0,16923,0,0,0,0,0,0,0,0,705,0,0,0,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3526,705,0,0,0,0,205192,0,1410,0,0,2821,705,0,0,705,705,0,0
sos.11.up,0,0,11591,0,0,0,0,0,0,0,1104,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5519,0,0,0,0,0,88861,0,1656,0,0,4967,0,0,552,0,0,0,0
sos.12.up,0,0,14026,0,0,0,0,0,0,0,10686,26715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1336,6679,0,0,0,0,52095,0,2672,0,0,17365,0,0,42077,0,0,0,668
sos.01.lo,5014,0,10029,0,1003,0,0,0,0,0,0,122351,0,0,8023,0,9026,2006,0,29083,0,0,0,3009,0,0,0,0,0,0,0,0,1003,13037,0,35101,2006,0,1003,0,7020,2006,0,1003,0,0,2006,50144,10029,0,4012
sos.02.lo,0,0,33151,0,0,0,0,0,0,0,1507,100959,0,0,1507,0,1507,1507,0,13562,0,1507,0,0,3014,0,0,0,0,0,0,0,0,16575,0,27123,0,0,1507,0,28630,6027,0,12055,0,0,0,1507,7534,0,6027
sos.03.lo,0,0,22330,0,971,0,0,0,0,0,0,78641,0,0,971,0,0,0,0,26214,0,971,0,0,971,0,0,0,0,0,0,0,44660,6796,0,62136,2913,0,971,0,16505,4854,0,19417,0,0,2913,2913,2913,0,5825
sos.04.lo,0,0,17143,0,1429,0,0,0,0,0,5715,18571,0,0,0,0,0,0,0,2857,0,0,0,1429,4286,0,0,0,0,0,0,0,28571,5714,0,27143,4286,0,2857,0,57143,17143,0,210000,5714,0,5714,0,1429,7143,2857
