,Arcella arenaria,Arcella arenaria compressa,Arcella artocrea,Arcella catinus,Arcella conica,Arcella costata,Arcella discoides,Arcella gibbosa,Arcella hemisphaerica,Arcella intermedia,Arcella rotundata,Arcella vulgaris polymorpha,Argynnia dentistoma,Argynnia gertrudiana,Archerella flavum,Assulina muscorum,Assulina seminulum,Bullinularia indica,Centropyxis aculeata,Centropyxis aerophila,Centropyxis aerophila sphagniñola,Centropysis cassis,Centropyxis minuta,Centropyxis orbicularis,Corythion dubium,Corythion orbicularis,Cryptodifflugia compressa,Cyclopyxis arcelloides,Cyclopyxis eurystoma,Cyclopysis kahli,Difflugia acuminata,Difflugia angulostoma,Difflugia bacillifera,Difflugia bicornis,Difflugia globulusa,Difflugia leidyi,Difflugia oblonga,Difflugia parva,Difflugia petricola,Euglypha ciliata,Euglypha ciliata glabra,Euglypha compressa,Euglypha compressa glabra,Euglypha cristata,Euglypha filifera,Euglypha laevis,Euglypha rotunda,Euglypha scutigera,Euglypha strigosa,Euglypha strigosa glabra,Euglypha strigosa heterospina,Euglypha tuberculata,Heleopera petricola,Heleopera sphagni,Heleopera sylvatica,Hyalosphenia elegans,Hyalosphenia papilio,Planocarina carinata,Nebela collaris,Gibbocarina gracilis,Planocarina marginata,Planocarina maxima,Alabasta militaris,Nebela tincta,Longinebela tubulosa,Padaungiella lageniformis,Padaungiella tubulata,Padaungiella wailesi,Phryganella acropodia,Physochila tenella,Sphenoderia lenta,Placocista spinosa,Tracheleuglypha dentata,Trigonopyxis arcula,Trinema complanatum,Trinema lineare
KAR1.2,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.198,0,0,0.004,0,0.053,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.006,0,0,0.549,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0.019,0,0,0.013
KAR1.7,0,0,0,0,0,0.139,0,0,0,0,0,0,0,0,0,0.386,0,0.136,0,0,0,0,0,0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0,0,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0.001,0.015,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0.075,0,0.052
KAR1.8,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0.275,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0.004,0,0,0,0.002,0.53,0,0,0,0,0,0.006,0.039,0,0,0,0,0.033,0,0.077,0,0,0,0.001,0.01
KAR2.1,0,0,0,0.039,0,0,0,0,0,0,0,0,0,0,0.376,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.486,0,0,0,0,0,0,0.003,0,0,0,0,0.09,0,0.003,0,0,0,0,0
KAR2.2,0,0,0.005,0.085,0,0,0,0,0,0,0,0.003,0,0,0.037,0.008,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127,0,0.238,0.339,0.002,0,0,0,0,0,0.025,0,0,0,0,0.043,0.055,0,0,0,0,0,0
KAR2.3,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.299,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,0,0.124,0.273,0.004,0,0,0,0,0,0.009,0,0,0,0,0.019,0.132,0.05,0,0,0,0,0
IVT1.1,0.007,0,0,0.287,0,0,0,0,0,0,0,0,0,0,0.271,0.193,0,0,0,0,0,0,0,0,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0
IVT1.2,0.024,0,0,0.374,0,0,0,0,0,0,0,0,0,0,0.096,0.108,0,0.017,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0.151,0,0,0,0,0,0.014,0.078,0,0,0,0,0,0,0,0,0,0,0,0
IVT2.1,0.014,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0.102,0,0.068,0,0,0,0,0,0,0.017,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0.149,0.253,0,0,0,0,0,0.045,0.266,0,0,0,0,0,0,0,0,0,0,0,0
IVT2.2,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.281,0,0
